codigo_inep,ano,n_redacoes,media_c1,media_c2,media_c3,media_c4,media_c5
17001943,2024,33,98.18,133.94,100.61,112.73,85.45
17002435,2024,30,103.33,128.67,96.0,106.67,70.0
17002648,2024,28,110.71,135.0,106.43,119.29,104.29
17002737,2024,17,117.65,148.24,122.35,136.47,124.71
17002745,2024,12,121.67,153.33,121.67,133.33,96.67
17002753,2024,17,114.12,132.94,110.59,118.82,68.24
17003083,2024,29,114.48,141.38,107.59,124.83,95.86
17003261,2024,30,107.33,153.33,113.33,134.67,116.0
17003440,2024,21,117.14,160.0,123.81,137.14,117.14
17003512,2024,20,105.0,131.0,96.0,106.0,67.0
17003644,2024,57,118.6,149.47,122.11,134.04,103.51
17003652,2024,16,131.25,161.25,141.25,145.0,142.5
17003849,2024,16,120.0,153.75,125.0,141.25,116.25
17003970,2024,40,120.0,151.0,122.5,134.0,101.5
17004209,2024,89,122.02,150.79,121.35,135.06,107.87
17004217,2024,48,122.5,158.75,130.0,143.75,119.58
17004268,2024,45,120.0,152.0,117.33,140.0,130.22
17004284,2024,45,108.44,132.0,101.78,116.89,74.67
17004799,2024,24,129.17,170.0,136.67,148.33,147.5
17004829,2024,1,80.0,120.0,80.0,80.0,80.0
17004918,2024,22,121.82,148.18,116.36,134.55,120.0
17004950,2024,32,127.5,158.12,134.38,151.25,151.25
17004977,2024,37,109.73,138.38,105.95,113.51,87.03
17004985,2024,43,134.88,172.09,138.14,155.81,144.19
17004993,2024,223,114.08,143.41,110.4,122.78,94.71
17005000,2024,21,122.86,145.71,119.05,134.29,106.67
17005019,2024,29,111.72,128.28,100.0,115.86,93.79
17005078,2024,57,145.96,177.19,147.72,171.58,164.56
17005094,2024,26,107.69,129.23,94.62,111.54,70.77
17005213,2024,30,134.0,168.0,137.33,151.33,157.33
17005264,2024,75,112.8,140.53,110.4,116.27,95.73
17005299,2024,95,123.37,159.16,128.84,145.47,140.84
17005329,2024,40,112.0,136.5,106.0,112.5,77.0
17005337,2024,46,117.39,150.0,116.52,132.17,107.39
17005345,2024,24,110.83,132.5,104.17,125.0,91.67
17005370,2024,32,110.62,134.38,103.12,121.88,103.75
17005400,2024,7,114.29,160.0,120.0,125.71,114.29
17005485,2024,6,90.0,110.0,90.0,83.33,40.0
17006422,2024,41,113.66,143.41,107.8,118.05,96.1
17006430,2024,13,104.62,118.46,83.08,113.85,73.85
