inep_nome,competencia_redacao_media,ano
11113804-EEEFM RAIMUNDO NONATO VIEIRA DA SILVA,1124.4444444444443,2024
12000418-ESC FLODOARDO CABRAL,1219.6026490066224,2024
12000450-ESC CRAVEIRO COSTA,1210,2024
12000531-ESC DR VALERIO CALDAS DE MAGALHAES,971.42857142857133,2024
12000906-ESC JUAREZ IBERNON,1207.5,2024
12000914-ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER,1247.8947368421057,2024
12000930-ESC MANOEL BRAZ DE MELO,1241.9047619047619,2024
12000973-ESC MARCILIO NUNES RIBEIRO II,1131.4285714285716,2024
12001686-ESC INSTITUTO SANTA TERESINHA,1528.421052631579,2024
12001805-ESC 1º DE MAIO,1160,2024
12001945-ESC ANTONIO OLIVEIRA DANTAS,1171.8918918918916,2024
12002046-ESC FRANCISCO FREIRE DE CARVALHO,1258.8679245283022,2024
12003050-ESC BORGES DE AQUINO,1128.780487804878,2024
12004197-ESC JOSE GURGEL RABELLO,1219.4444444444443,2024
12004847-ESC SANTO ANTONIO I,814.5454545454545,2024
12005711-ESC DR DJALMA DA CUNHA BATISTA,1098.1052631578948,2024
12005894-ESC JOAO RIBEIRO,955.06172839506178,2024
12006920-ESC NAZIRA ANUTE DE LIMA,1125.4545454545455,2024
12007412-ESC ASSIS VASCONCELOS,1177.7777777777778,2024
12007617-ESC DOM JULIO MATTIOLI,1197.3831775700935,2024
12009369-ESC SAO JOAO BATISTA,1159.0243902439024,2024
12009725-ESC ARGENTINA PEREIRA FEITOSA,1277.333333333333,2024
12010731-ESC SAO LUIZ GONZAGA,1194.2857142857142,2024
12010928-COLEGIO ADVENTISTA DE RIO BRANCO,1385.1428571428571,2024
12010936-ESC CENTRO EDUCACIONAL E CULTURAL - META,1739.5833333333335,2024
12011410-ESC COLEGIO DE APLICACAO UFAC,1463.3333333333335,2024
12011428-ESC COLEGIO ACREANO,1359.5744680851062,2024
12011444-ESC COLEGIO ESTADUAL BARAO DO RIO BRANCO,1216.0544217687075,2024
12011517-ESC DR JOAO BATISTA AGUIAR,1102.0224719101125,2024
12011584-ESC ALCIMAR NUNES LEITAO,1165.8536585365853,2024
12012017-ESC HUMBERTO SOARES DA COSTA,1457.5510204081631,2024
12012106-ESC SENADOR ADALBERTO SENA,1165.3932584269664,2024
12012181-ESC PROF JOSE RODRIGUES LEITE,1304.9350649350649,2024
12012360-ESC DR SANTIAGO DANTAS,1163.478260869565,2024
12012556-ESC PROF HELOISA MOURAO MARQUES,1324.4444444444448,2024
12012564-ESC HENRIQUE LIMA,1124.6376811594205,2024
12012580-ESC INSTITUTO DE EDUCACAO LOURENCO FILHO,1373.939393939394,2024
12012750-ESC LEONCIO DE CARVALHO,1245.9259259259261,2024
12012904-ESC CENTRO EDUCACIONAL MARILIA SANTANA - ESCOLA SESI,1303.3333333333333,2024
12013242-ESC PADRE CARLOS CASAVECCHIA,1163.5714285714287,2024
12013340-ESC PRESBITERIANA JOAO CALVINO,1403.0769230769231,2024
12013595-ESC SAO PEDRO I,1057.1428571428571,2024
12014052-ESC TANCREDO DE ALMEIDA NEVES,1114.4186046511629,2024
12014125-ESC UNIAO E PROGRESSO,1104,2024
12014370-ESC INSTITUTO IMACULADA CONCEICAO,1521.9047619047617,2024
12015326-ESC CEL JOSE PLACIDO DE CASTRO,1092.1739130434783,2024
12015334-ESC EDMUNDO PINTO DE ALMEIDA NETO,1330.5660377358492,2024
12015342-ESC JADER SARAIVA MACHADO,1113.3333333333333,2024
12015946-ESC PROFª IRIS CELIA CABANELLAS ZANNINI,1084.4444444444443,2024
12016284-ESC KAIRALA JOSE KAIRALA,1026.6666666666665,2024
12017060-ESC LUIZ GONZAGA DA ROCHA,1059.1304347826085,2024
12017540-ESC DIVINA PROVIDENCIA,1158.5185185185182,2024
12018422-ESC SANTA LUCIA III,1148.5714285714284,2024
12020249-ESC DOM HENRIQUE RUTH,1159.0243902439026,2024
12021768-ESC MARCILIO PONTES DOS SANTOS,1162.7586206896553,2024
12022004-ESC FRANCISCO BRAGA DE SOUZA,1207.7777777777778,2024
12022969-ESC ASSOCIACAO MODELAR DE ENSINO A M E,1643.6363636363637,2024
12023779-ESC JOAO RICARDO DE FREITAS,1222.1176470588236,2024
12026328-ESC ELVIRA FERREIRA GOMES,1094.285714285714,2024
12026409-COLEGIO ALTERNATIVO DO ACRE,1617.1428571428569,2024
12026530-ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,1489.9999999999998,2024
12026697-ESC CENTRO DE EDUCACAO DE JOVENS E ADULTOS,952.38095238095229,2024
12026948-ESC VALERIA BISPO SABALA,1087.6190476190477,2024
12027340-ESC LOURIVAL PINHO,1191.5447154471547,2024
12027359-ESC PAULO FREIRE,1142,2024
12027758-ESC GLORIA PEREZ,1082.5925925925926,2024
12028037-ESC JORNALISTA ARMANDO NOGUEIRA,1313.5294117647059,2024
12028835-COLEGIO LATO SENSU,1692.6315789473683,2024
12028851-ESC PADRE PAOLINO MARIA BALDASSARI,1057.1428571428571,2024
12028860-ESC JOSE RIBAMAR BATISTA,1486.7226890756301,2024
12029718-ESC MAGIA DO SABER,1061.5384615384614,2024
12030058-ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO,1723.4482758620688,2024
12030155-ESC JAIRO DE FIGUEIREDO MELO,1150.7692307692307,2024
12030937-IFAC - CAMPUS CRUZEIRO DO SUL,1338.148148148148,2024
12030945-IFAC - CAMPUS SENA MADUREIRA,1392.9032258064519,2024
12030953-IFAC - CAMPUS XAPURI,1260.3773584905659,2024
12030961-IFAC - CAMPUS RIO BRANCO,1494.1935483870971,2024
12031674-ESC BELO PORVIR,1157.8666666666668,2024
12031682-ESCOLA COLEGIO SIGMA,1806.6666666666665,2024
12031755-ESC FRANCISCO NAPOLEAO DE ARAUJO,1166.6666666666667,2024
12032166-ESC PROF RAIMUNDA SILVA PARA,1160,2024
