inep_nome,desempenho_habilidades,ano
11050322-IFRO - CAMPUS JARU,0.41670684478665576,2024
11050349-EEEFM FERNANDO DE SOUZA GOMES,0.28993334306427287,2024
11050373-COOPERATIVA EDUCACIONAL DE CACOAL,0.41390168970814128,2024
11050870-EEEFM VIVALDINO FERNANDES DE AVILA,0.29761904761904762,2024
11104805-EEEFM CESAR FREITAS CASSOL,0.32820458404074704,2024
11106808-IFRO - CAMPUS JI-PARANA,0.43392814959043208,2024
11106859-EEEFM MOACYR CARAMELLO,0.30805744199207696,2024
11106867-EEEFM SHIRLEI CERUTI,0.30926859388025851,2024
11107804-IFRO - CAMPUS VILHENA,0.40115394371831192,2024
11108800-IFRO - CAMPUS ARIQUEMES,0.39120763398042685,2024
11109807-IFRO - CAMPUS PORTO VELHO CALAMA,0.42079282939175572,2024
11109815-IFRO - CAMPUS CACOAL,0.42051649181114431,2024
11113804-EEEFM RAIMUNDO NONATO VIEIRA DA SILVA,0.28110999103942652,2024
12000418-ESC FLODOARDO CABRAL,0.312353686839248,2024
12000450-ESC CRAVEIRO COSTA,0.29495939914067543,2024
12000531-ESC DR VALERIO CALDAS DE MAGALHAES,0.2544642857142857,2024
12000906-ESC JUAREZ IBERNON,0.27894419725621061,2024
12000914-ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER,0.29974840426025412,2024
12000930-ESC MANOEL BRAZ DE MELO,0.27192328544320954,2024
12000973-ESC MARCILIO NUNES RIBEIRO II,0.2803859447004608,2024
12001686-ESC INSTITUTO SANTA TERESINHA,0.42090171665723447,2024
12001805-ESC 1º DE MAIO,0.26979166666666665,2024
12001945-ESC ANTONIO OLIVEIRA DANTAS,0.2758053164051148,2024
12002046-ESC FRANCISCO FREIRE DE CARVALHO,0.29927362159688858,2024
12003050-ESC BORGES DE AQUINO,0.25695209371448552,2024
12004197-ESC JOSE GURGEL RABELLO,0.31582429568953335,2024
12004847-ESC SANTO ANTONIO I,0.22967171717171717,2024
12005711-ESC DR DJALMA DA CUNHA BATISTA,0.28075329452663916,2024
12005894-ESC JOAO RIBEIRO,0.25588165592519674,2024
12006920-ESC NAZIRA ANUTE DE LIMA,0.27674677815795412,2024
12007412-ESC ASSIS VASCONCELOS,0.2829767771804062,2024
12007617-ESC DOM JULIO MATTIOLI,0.30401693297156063,2024
12009369-ESC SAO JOAO BATISTA,0.28758173496076728,2024
12009725-ESC ARGENTINA PEREIRA FEITOSA,0.32253275244098373,2024
12010731-ESC SAO LUIZ GONZAGA,0.31816436251920116,2024
12010928-COLEGIO ADVENTISTA DE RIO BRANCO,0.37956142877354682,2024
12010936-ESC CENTRO EDUCACIONAL E CULTURAL - META,0.52276147363572112,2024
12011410-ESC COLEGIO DE APLICACAO UFAC,0.44725582437275985,2024
12011428-ESC COLEGIO ACREANO,0.36099380269151815,2024
12011444-ESC COLEGIO ESTADUAL BARAO DO RIO BRANCO,0.31042053613375292,2024
12011517-ESC DR JOAO BATISTA AGUIAR,0.32432544132022312,2024
12011584-ESC ALCIMAR NUNES LEITAO,0.33154292606434127,2024
12012017-ESC HUMBERTO SOARES DA COSTA,0.38213188501206929,2024
12012106-ESC SENADOR ADALBERTO SENA,0.3137392564947839,2024
12012181-ESC PROF JOSE RODRIGUES LEITE,0.34518848209770941,2024
12012360-ESC DR SANTIAGO DANTAS,0.3056763285024155,2024
12012556-ESC PROF HELOISA MOURAO MARQUES,0.31905790990231225,2024
12012564-ESC HENRIQUE LIMA,0.30088552251195005,2024
12012580-ESC INSTITUTO DE EDUCACAO LOURENCO FILHO,0.32154043313317504,2024
12012750-ESC LEONCIO DE CARVALHO,0.32428315412186376,2024
12012904-ESC CENTRO EDUCACIONAL MARILIA SANTANA - ESCOLA SESI,0.35683670421573643,2024
12013242-ESC PADRE CARLOS CASAVECCHIA,0.31956445212493595,2024
12013340-ESC PRESBITERIANA JOAO CALVINO,0.38121121015907217,2024
12013595-ESC SAO PEDRO I,0.26728110599078342,2024
12014052-ESC TANCREDO DE ALMEIDA NEVES,0.29490645687737727,2024
12014125-ESC UNIAO E PROGRESSO,0.28758960573476705,2024
12014370-ESC INSTITUTO IMACULADA CONCEICAO,0.41201289514107853,2024
12015326-ESC CEL JOSE PLACIDO DE CASTRO,0.31615772026010458,2024
12015334-ESC EDMUNDO PINTO DE ALMEIDA NETO,0.37131509864315709,2024
12015342-ESC JADER SARAIVA MACHADO,0.28639723851417404,2024
12015946-ESC PROFª IRIS CELIA CABANELLAS ZANNINI,0.30486295084238041,2024
12016284-ESC KAIRALA JOSE KAIRALA,0.28810420669430681,2024
12017060-ESC LUIZ GONZAGA DA ROCHA,0.27449105359343789,2024
12017540-ESC DIVINA PROVIDENCIA,0.28868976503385108,2024
12018422-ESC SANTA LUCIA III,0.2875,2024
12020249-ESC DOM HENRIQUE RUTH,0.29423357987307175,2024
12021768-ESC MARCILIO PONTES DOS SANTOS,0.32643876282049905,2024
12022004-ESC FRANCISCO BRAGA DE SOUZA,0.30780036589008364,2024
12022969-ESC ASSOCIACAO MODELAR DE ENSINO A M E,0.47743564679048545,2024
12023779-ESC JOAO RICARDO DE FREITAS,0.28889741946580555,2024
12026328-ESC ELVIRA FERREIRA GOMES,0.27646300078492542,2024
12026409-COLEGIO ALTERNATIVO DO ACRE,0.4673882286361063,2024
12026530-ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,0.42165898617511521,2024
12026697-ESC CENTRO DE EDUCACAO DE JOVENS E ADULTOS,0.32898043936350385,2024
12026948-ESC VALERIA BISPO SABALA,0.2832602339181286,2024
12027340-ESC LOURIVAL PINHO,0.31611106018670582,2024
12027359-ESC PAULO FREIRE,0.3097327640733713,2024
12027758-ESC GLORIA PEREZ,0.30794504045432375,2024
12028037-ESC JORNALISTA ARMANDO NOGUEIRA,0.36269049812538384,2024
12028835-COLEGIO LATO SENSU,0.578398229607907,2024
12028851-ESC PADRE PAOLINO MARIA BALDASSARI,0.229265873015873,2024
12028860-ESC JOSE RIBAMAR BATISTA,0.36129318938353944,2024
12029718-ESC MAGIA DO SABER,0.26121324911647492,2024
12030058-ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO,0.52573252688172045,2024
12030155-ESC JAIRO DE FIGUEIREDO MELO,0.29336322279870669,2024
12030937-IFAC - CAMPUS CRUZEIRO DO SUL,0.35339357891133594,2024
12030945-IFAC - CAMPUS SENA MADUREIRA,0.35901838362816507,2024
12030953-IFAC - CAMPUS XAPURI,0.34140594311564637,2024
12030961-IFAC - CAMPUS RIO BRANCO,0.42123826332077219,2024
12031674-ESC BELO PORVIR,0.33939108222329212,2024
12031682-ESCOLA COLEGIO SIGMA,0.59918517138038019,2024
12031755-ESC FRANCISCO NAPOLEAO DE ARAUJO,0.25277777777777777,2024
12032166-ESC PROF RAIMUNDA SILVA PARA,0.30563676075268809,2024
12032271-INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MOVEIS,0.34745573424301496,2024
12032441-IFAC - CAMPUS TARAUACA,0.32443953336090431,2024
12032611-ESC ADALBERTO SENA II,0.23080065359477123,2024
12032859-ESC COLEGIO BATISTA BETEL,0.37533602150537637,2024
12033162-ESC ASAS DE AGUIA,0.23076923076923078,2024
12033359-ESC COLEGIO MILITAR TIRADENTES,0.40157635050280044,2024
12033367-ESC COLEGIO MILITAR DOM PEDRO II,0.36858866286348124,2024
12033537-COLEGIO MILITAR ESTADUAL DOM PEDRO II - CZS,0.39661088698806257,2024
12033545-ESC INSTITUTO AGUIAS DO SABER,0.39684139784946237,2024
12033790-ESC CIVICO MILITAR PROFESSOR ALDACI SIMOES DA COSTA,0.34543905356119814,2024
12034568-ESC MARIA DAS GRACAS ROCHA RODRIGUES,0.34100981268771352,2024
12044636-ESC PROF PEDRO MARTINELLO,0.29052008473990537,2024
12044822-ESC SEBASTIAO PEDROSA,0.32793053890584134,2024
12052221-ESC PROF CLICIA GADELHA,0.28869462835494886,2024
12091260-ESC BOA UNIAO ENSINO JOVEM,0.29717501920122885,2024
12128236-ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN,0.27111111111111108,2024
13000136-ESCOLA ESTADUAL PE JOAO BADALOTTI,0.268473715651135,2024
13000403-ESCOLA ESTADUAL ANGELINA PALHETA MENDES,0.2795698924731182,2024
13000411-ESCOLA ESTADUAL SAO FRANCISCO DE SALES,0.30277311081242536,2024
13000837-ESCOLA ESTADUAL PADRE SCHANAIDER,0.2298604762526664,2024
13001396-ESCOLA ESTADUAL SAO GABRIEL,0.29816817367220594,2024
13004255-ESCOLA ESTADUAL BENTA SOLART,0.27279755660459831,2024
13004964-ESCOLA ESTADUAL PIO VEIGA,0.25922749965088676,2024
13005081-ESCOLA ESTADUAL NOSSA SENHORA DA IMACULADA CONCEICAO,0.25009453478585852,2024
13006614-ESCOLA ESTADUAL WALDEMARINA FERREIRA,0.26908602150537636,2024
13007203-ESCOLA ESTADUAL PE JOAO VAN DEN,0.27120563998509256,2024
13007351-ESCOLA ESTADUAL SANTO ANTONIO,0.25569180313511558,2024
13007734-ESCOLA ESTADUAL MONSENHOR EVANGELISTA CEFALONIA,0.26126306620209061,2024
13008455-ESCOLA ESTADUAL SAO FRANCISCO,0.27009013282732441,2024
13008552-ESCOLA ESTADUAL OSVALDO NASCIMENTO,0.25370609957896489,2024
13011413-ESCOLA ESTADUAL ARMANDO DE SOUZA MENDES,0.26432945041816003,2024
13012096-ESCOLA ESTADUAL FRANCIDENE SOARES BARROSO,0.27992271505376348,2024
13012533-ESCOLA ESTADUAL PROF JOHANNES PETRUS,0.27489079301075275,2024
13013076-CENTRO EDUCACIONAL GOVERNADOR GILBERTO MESTRINHO,0.30239445755150335,2024
13013246-ESCOLA ESTADUAL FREI ANDRE DA COSTA,0.26100657108721631,2024
13013793-ESCOLA ESTADUAL GETULIO VARGAS,0.28174414927261227,2024
13014242-ESCOLA ESTADUAL EDSON MELO,0.27879763252216566,2024
13014803-ESCOLA ESTADUAL TANCREDO NEVES,0.28890483911605258,2024
