codigo_inep,nome_escola,tipo_escola
11033215,CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI,Privada
11033649,EEEFM MARIA ARLETE TOLEDO,Pública
11033738,COLEGIO SANTA LUCIA FILIPPINI,Privada
11033797,EEEFM ALVARES DE AZEVEDO,Pública
11033819,EEEM EM TEMPO INTEGRAL MARECHAL RONDON,Pública
11033835,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM V,Pública
11034440,EEEFM JOSE DE ANCHIETA,Pública
11034998,EEEM TANCREDO DE ALMEIDA NEVES,Pública
11035080,EEEFM INACIO DE CASTRO,Pública
11035951,EEEFM MANUEL BANDEIRA,Pública
11035960,EEEFM PAULO DE ASSIS RIBEIRO,Pública
11036486,EEEFM DOUTOR OSWALDO PIANNA,Pública
11037016,IFRO - CAMPUS COLORADO DO OESTE,Pública
11037474,CENTRO DE ENSINO MINEIRO,Privada
11037660,COLEGIO UNIAO,Privada
11038063,EEEFM ULISSES GUIMARAES - CIVICO-MILITAR,Pública
11038578,ESCOLA MONTEIRO LOBATO,Privada
11039582,EEEMTI MARECHAL RONDON,Pública
11040076,COOPERATIVA DE PROFISSIONAIS EM EDUCACAO,Privada
11040629,EEEFM JAYME PEIXOTO DE ALENCAR,Pública
11040793,EEEB PROF JOAO BENTO DA COSTA,Pública
11041951,COOPERATIVA EDUCACIONAL DE VILHENA,Privada
11042028,EEEFM PROF ELVANDAS MARIA DE SIQUEIRA,Pública
11043857,COLEGIO CLASSE A,Privada
11045639,COLEGIO CLARICE LISPECTOR LTDA,Privada
11045914,EEEFM MARIA DE ABREU BIANCO,Pública
11046740,EEEMTI JOSINO BRITO,Pública
11046953,EEEFM ALBINO BUTTNER,Pública
11047208,EEEMTI JOVEM GONCALVES VILELA,Pública
11047216,EEEFM DARCY DA SILVEIRA,Pública
11048018,EEEM PROFª MARIA CONCEICAO DE SOUZA,Pública
11048247,EEEFM PROFESSORA MARIA LAURINDA GROFF,Pública
11048450,ESCOLA MARCELO CANDIA SUBSEDE I,Privada
11048557,COLEGIO CRISTAO,Privada
11048956,CENTRO TECNICO ESTADUAL DE EDUCACAO RURAL ABAITARA,Pública
11049014,ESCOLA FAMILIA AGRICOLA DOM ANTONIO POSSAMAI,Privada
11049073,COLEGIO SAPIENS - UNIDADE INTENSIVO,Privada
11049430,COLEGIO TIRADENTES DA POLICIA MILITAR II UNIDADE JACI PARANA CTPM II,Pública
11049634,EEEMTI PROFESSOR ALEJANDRO YAGUE MAYOR,Pública
11049723,INSTITUTO EDUCACIONAL SOMA - IES,Privada
